Omoo,1847,Herman Melville (1819-1891)
Emma,1815,Jane Austen (1775-1817)
Neverwhere,1996,Neil Gaiman (1960-)
Good Omens,1990,Neil Gaiman (1960-) and Terry Pratchett (1948-2015)
