All Clear,2010,Connie Willis (1945-)
And Then There Were None,1939,Agatha Christie (1890-1976)
Beloved,1987,Toni Morrison (1931-)
Blackout,2010,Connie Willis (1945-)
Elmer Gantry,1927,Sinclair Lewis (1885-1951)
Emma,1815,Jane Austen (1775-1817)
