131,Sailing Women's Three Person Keelboat,2008
132,"Cycling Women's Road Race, Individual",2016
133,Golf Women's Individual,1900
134,Softball Women's Softball,2008
135,Archery Women's Individual,2008
136,"Wrestling Men's Heavyweight, Greco-Roman",2012
137,Volleyball Men's Volleyball,2008
138,Taekwondo Women's Heavyweight,2008
139,Synchronized Swimming Women's Duet,2008
140,Synchronized Swimming Women's Team,2008
141,Taekwondo Women's Featherweight,2004
142,Athletics Men's Marathon,1964
143,Athletics Men's 4 x 400 metres Relay,1972
144,"Athletics Men's 10,000 metres",1952
145,"Athletics Women's 3,000 metres",1984
146,Diving Women's Platform,2016
147,"Shooting Men's Air Rifle, 10 metres",2000
148,Athletics Men's 200 metres,1972
149,Weightlifting Men's Flyweight,1976
150,Swimming Men's 100 metres Backstroke,1948
151,Weightlifting Men's Light-Heavyweight,1952
152,"Wrestling Men's Lightweight, Greco-Roman",1988
153,"Fencing Men's Sabre, Individual",1936
154,"Wrestling Men's Super-Heavyweight, Greco-Roman",2008
155,"Shooting Men's Free Pistol, 50 metres",2008
156,"Shooting Men's Air Pistol, 10 metres",2016
157,Rowing Men's Coxless Fours,2000
158,Boxing Men's Light-Flyweight,2000
159,Boxing Men's Super-Heavyweight,2000
160,"Wrestling Men's Flyweight, Greco-Roman",1948
161,"Shooting Women's Air Rifle, 10 metres",2004
162,Weightlifting Men's Middle-Heavyweight,2016
163,Athletics Men's Javelin Throw,2012
164,Volleyball Women's Volleyball,2008
165,"Wrestling Men's Welterweight, Greco-Roman",2012
166,"Wrestling Men's Middleweight, Greco-Roman",2016
167,"Athletics Men's 3,000 metres Steeplechase",2008
168,"Wrestling Men's Middleweight, Freestyle",2004
169,Swimming Women's 100 metres Backstroke,1984
170,Swimming Women's 200 metres Backstroke,1984
171,Swimming Women's 4 x 100 metres Medley Relay,1984
172,"Wrestling Men's Light-Heavyweight, Freestyle",2000
173,Modern Pentathlon Men's Team,1988
174,Boxing Men's Bantamweight,1952
175,Athletics Women's 200 metres,2016
176,Table Tennis Women's Singles,2000
177,Table Tennis Women's Doubles,2000
178,Shooting Men's Skeet,1996
179,Swimming Women's 50 metres Freestyle,2000
180,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",1984
181,Athletics Men's Triple Jump,1960
182,Weightlifting Women's Lightweight,2004
183,Athletics Women's Long Jump,2008
184,"Fencing Women's epee, Individual",2012
185,Swimming Men's 200 metres Freestyle,1968
186,Swimming Men's 4 x 100 metres Freestyle Relay,1968
187,Swimming Men's 200 metres Backstroke,1988
188,Swimming Men's 200 metres Individual Medley,1988
189,Swimming Men's 400 metres Individual Medley,1996
190,Badminton Women's Singles,1992
191,Boxing Men's Light-Middleweight,1968
192,Tennis Men's Singles,1988
193,"Wrestling Men's Bantamweight, Freestyle",1996
194,"Wrestling Men's Flyweight, Freestyle",1996
195,"Athletics Women's 5,000 metres",2012
196,Weightlifting Women's Light-Heavyweight,2008
197,Weightlifting Women's Heavyweight,2012
198,Athletics Men's Discus Throw,1980
199,Taekwondo Men's Featherweight,2008
200,Taekwondo Men's Welterweight,2012
201,Judo Men's Heavyweight,2016
202,Cycling Men's Sprint,1980
203,Bobsleigh Men's Two,1972
204,"Wrestling Men's Lightweight, Freestyle",1960
205,Nordic Combined Men's Team,1988
206,Nordic Combined Men's Individual,1988
207,Baseball Men's Baseball,2000
208,Rowing Men's Coxed Fours,1984
209,Cycling Men's 100 kilometres Team Time Trial,1992
210,Rhythmic Gymnastics Women's Group,2004
211,"Art Competitions Mixed Architecture, Designs For Town Planning",1928
212,"Art Competitions Mixed Architecture, Architectural Designs",1928
213,Gymnastics Women's Individual All-Around,1972
214,Gymnastics Women's Team All-Around,1972
215,Gymnastics Women's Floor Exercise,1972
216,Gymnastics Women's Horse Vault,1972
217,Gymnastics Women's Uneven Bars,1972
218,Gymnastics Women's Balance Beam,1972
219,Diving Women's Springboard,2008
220,Diving Women's Synchronized Springboard,2012
221,"Athletics Women's 10,000 metres",2000
222,Sailing Mixed 7 metres,1920
223,Judo Women's Half-Middleweight,2012
224,Athletics Men's Decathlon,2008
225,Biathlon Men's 10 kilometres Sprint,1980
226,Biathlon Men's 20 kilometres,1980
227,Biathlon Men's 4 x 7.5 kilometres Relay,1980
